X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X8	X9
sq46	5	1738	76	2005	426	1528	156	372	35	12	237	149	35	911	1023	50	2151	53	1383	205	706	4	183	2	13	724	27	473	12	12	579	118	1082	8	417	789	133	173	90	5	256	11	337	8	423	589	14	634	44	10	29	1018	117	521	87	525	94	6	110	14	177	23	706	213	2480	32	21	2793	1	0	0	313	16
sq47	11	290	34	46	38	20	9	832	93	57	870	546	233	2331	1893	50	2445	51	154	16	18	15	378	8	125	2060	150	1117	65	41	1126	180	665	14	99	103	289	624	352	18	581	65	884	112	1569	840	66	683	64	46	94	1173	102	433	304	1029	174	7	396	33	733	39	996	23	252	7	71	118	0	0	0	1015	73
sq48	2	0	1	186	1536	175	197	4	29	1	1	1	16	2	18	17	15	3	28	391	231	19	0	20	16	0	17	0	45	33	3	1943	291	7	10042	1075	56	9	0	7	3	3	1	23	2	1	221	21	1507	713	1341	1420	125	221	12	2	4	4	0	3	2	27	14	523	1278	128	24	5145	0	0	0	2	12
sq49	253	0	0	1	1	0	0	6	5	573	1460	1518	331	632	236	48	103	14	0	0	1	1252	555	1025	606	1906	295	564	19	18	54	11	6	387	0	0	92	316	2059	177	1091	477	901	104	1307	40	213	343	57	7	1	13	13	40	6857	420	1101	23	457	15	489	2	36	0	0	0	428	0	0	0	0	69	65
sq50	23	1	1	1	0	0	0	149	248	124	68	59	1441	638	518	386	541	119	2	0	1	140	34	93	2654	1730	3104	1105	1300	703	908	36	13	59	4	3	626	959	135	154	392	1759	859	1602	344	338	43	23	5	0	5	10	30	177	225	282	132	265	575	477	933	422	780	0	0	1	359	0	0	0	0	374	547
sq51	167	0	2	0	5	1	0	3	78	227	13	25	832	19	32	152	25	67	0	1	2	485	10	318	2722	53	1303	42	346	138	7	25	0	187	2	0	2539	176	7	3835	272	1720	58	869	15	6	47	4	52	55	94	77	34	41	419	21	149	1954	286	4234	418	1336	129	8	10	3	412	0	0	0	0	10	389
sq52	24	1186	2902	0	1	0	1	1429	1326	262	94	37	1679	323	439	670	643	1084	30	1	10	33	25	63	478	92	1040	93	93	126	39	794	728	110	10	9	69	336	22	34	193	557	64	473	156	72	1187	482	1553	149	10	336	51	194	48	244	27	33	133	16	172	12	175	0	2	0	777	0	0	0	0	496	863
sq53	88	2	392	0	12	1	0	7	2605	245	0	0	2188	1	8	721	3	877	16	2	11	22	0	5	325	1	1273	0	424	288	1	297	0	144	40	0	1300	214	1	81	24	387	2	2797	1	0	458	3	652	329	457	293	149	308	7	0	3	75	45	580	245	834	758	64	231	3	895	7	0	0	0	0	2779
sq54	2	1068	66	899	71	316	20	424	78	11	131	88	109	1518	1413	78	2326	58	914	26	149	3	63	2	46	1611	78	840	18	35	605	69	913	5	22	73	161	289	110	12	374	63	793	35	745	1015	35	879	10	11	5	101	58	412	49	424	26	9	360	35	380	42	993	87	1252	12	28	506	0	1	0	439	42
sq55	150	3	40	1	5	0	1	215	118	664	13	113	758	10	253	529	303	593	16	0	7	149	44	157	760	16	1508	85	685	913	73	110	3	665	5	0	347	221	13	762	136	682	43	2319	15	90	191	6	164	403	289	77	36	209	143	74	66	587	135	2377	364	2942	813	22	36	1	619	3	0	0	0	106	535
sq56	64	274	325	52	366	39	89	372	148	276	433	268	505	496	453	99	585	109	132	87	26	13	233	22	158	324	105	192	14	25	50	1565	644	135	1555	387	185	130	112	49	147	49	218	57	510	96	197	280	801	322	1448	3328	114	382	67	269	27	15	75	47	69	39	137	399	1412	174	259	1361	0	0	0	143	225
sq57	132	2	680	1	112	2	14	8	221	554	5	2	871	0	21	274	16	682	22	4	17	60	2	72	627	1	777	8	368	335	8	1946	19	370	472	7	300	97	0	370	66	578	1	868	5	2	1027	2	2061	1462	1135	2012	131	218	50	8	13	215	79	459	177	472	483	220	728	4	773	117	0	1	0	2	541
sq58	239	3	32	0	2	0	2	27	145	1700	146	164	2277	120	151	271	229	152	0	0	3	508	122	703	2310	198	1746	117	322	366	21	400	48	992	11	0	844	210	59	221	349	1147	139	407	83	36	492	29	805	196	133	441	68	193	535	217	298	102	368	126	270	29	164	5	37	0	879	4	0	0	0	52	680
