X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X8	X9
sq2883	0	0	0	0	0	0	0	0	0	1	4	2	1	2	1	0	0	0	0	0	0	1	1	0	4	7	0	1	0	0	0	0	0	0	0	0	0	2	2	0	3	0	4	0	1	0	0	0	0	0	0	0	0	0	5	0	5	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0
sq2884	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	0	2	0	1	0	0	0	0	0	14	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2885	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	22	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2886	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	3	0	0	0	0	0	0	4	0	2	0	3	0	1	20	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
sq2887	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	1	4	0	0	0	4	0	0	1	0	0	0	0	0	0	13	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2888	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	2	2	9	1	4	0	0	1	0	0	0	0	0	0	3	6	0	7	0	3	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0
sq2889	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
sq2890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	2	0	8	0	0	2	0	0	1	0	0	0	0	0	0	1	1	6	0	0	1	14	0	5	3	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0
sq2891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2892	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sq2893	4	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	3	0	0	0	0	7	0	0	0	1	0	8	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2
sq2894	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2895	1	0	0	1	1	0	1	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	25	9	2	0	0
sq2896	1	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	2	3	0	0	0	0	3	0	2	0	2	2	0	2	0	0	6	0	4	0	1	0	0	0	0	1	5	0	0	4	0	0	0	2	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
sq2897	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	13	0	7	2	0	3	0	1	2	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
sq2898	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	1	0	0	1	0	1	0	4	0	1	2	2	0	2	4	0	1	0	1	0	1	14	1	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
sq2899	0	1	0	0	0	0	0	5	0	0	0	0	0	1	6	0	3	0	1	0	0	0	0	0	0	5	0	3	0	0	4	0	2	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	4	0	5	0	0	1	0	0	0	0	0
sq2900	0	0	1	0	1	0	1	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	9	14	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	1
sq2901	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0	0	2	1	1	0	1	0	0	1	0	0	0	0	10	0	0	7	1	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	9	0	1	0	0	0	1	0	0	0	0	0	0	0
sq2902	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	2	0	4	0	0	3	0	1	0	0	3	0	0	0	1	0	0	2	0	1	11	1	0	6	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2903	0	0	0	0	0	1	0	1	1	0	0	0	0	3	0	0	1	0	1	0	2	0	0	0	0	4	0	1	2	1	0	0	4	0	0	4	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	6	1	1	0	0	1	0	0	0	1	0	3	1	2	1	0	3	0	0	0	0	0
sq2904	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	2	1	15	0	5	0	1	1	0	0	0	0	0	0	0	2	2	1	0	7	0	1	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
sq2905	0	0	0	0	0	0	0	1	0	0	2	2	0	4	1	0	1	0	0	0	0	0	0	0	0	6	0	5	0	0	1	0	0	1	0	0	0	1	1	0	0	0	3	0	4	0	0	2	2	0	0	6	0	0	2	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
sq2906	0	0	0	0	0	0	0	0	4	2	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	6	1	8	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	2
sq2907	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	0	7	0	1	3	0	0	0	0	0	0	0	1	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	1	6	1	1	0	0	0	0	1	0	0	0	0	0	0
sq2908	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	1
sq2909	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	7	0	1	0	1	0	0	0	0	1	0	0	8	1	0	4	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	4	0	0	0	0	0	0	0	0	0	0	0
sq2910	0	0	0	0	0	0	0	0	0	1	1	3	0	3	0	0	2	0	0	0	0	0	3	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	1	0	0	5	0	0	0	1	0	3	5	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
sq2911	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
sq2912	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	1	3	2	0	2	0	2	0	0	0	1	0	0	0	0	0	1	2	1	5	0	0	0	0	0	0	2	0	0	0	0	0	1	14	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2913	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2914	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	2	0	0	0	1	1	0	6	1	2	2	2	1	0	0	0	0	0	1	0	1	11	0	2	1	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0
sq2915	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	21	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
sq2916	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	4	2	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2917	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	9	0	2	0	0	0	0	0	0	3	0	0	5	0	0	8	0	6	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	5	0	0	0	0	0	0	2	0	0	0	0	0	2
sq2918	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	13	2	2	0	0	0	0	0	0	0	12	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	3	3	1	0	0
sq2919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	22	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2920	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	1	0	2	1	0	4	0	0	3	0	0	0	2	0	0	2	0	0	2	1	7	0	5	0	0	1	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5
sq2921	0	0	0	3	0	1	0	0	0	0	0	1	0	6	1	0	4	0	0	0	1	0	1	0	0	4	0	1	0	0	1	0	3	0	0	0	1	1	0	0	2	0	2	0	3	1	0	0	0	0	0	0	0	1	3	3	3	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0
sq2922	0	0	0	0	4	1	16	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	8	0	0	0	0	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0	0
sq2923	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0	1	0	2	1	0	0	0	2	0	0	7	1	0	9	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	2	0	0	0	0	0	1
sq2924	0	0	0	0	0	0	0	0	0	4	8	0	2	4	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	9	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	7	2	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0
sq2925	0	0	0	0	0	0	0	0	0	3	3	2	1	3	0	0	0	0	0	0	0	1	0	2	1	1	2	2	0	0	1	0	0	2	0	0	0	0	1	0	6	0	5	0	0	0	0	5	0	0	0	0	0	0	5	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
sq2926	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6	0	2	1	0	2	0	0	1	0	0	0	0	0	0	2	0	0	11	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2927	0	0	0	0	0	0	0	0	0	1	4	3	0	5	0	0	2	0	0	0	1	1	1	0	1	5	0	1	0	0	0	0	0	1	0	0	0	0	3	2	6	1	1	0	2	0	0	0	0	0	0	0	0	0	2	1	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2928	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	19	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
sq2929	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	9	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2930	0	0	0	0	0	0	0	0	0	0	6	3	1	1	0	0	0	0	0	0	0	0	3	0	0	2	0	2	0	0	1	0	0	0	0	0	0	1	3	0	3	0	2	0	4	0	0	2	0	0	0	1	1	2	3	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sq2931	0	0	0	0	0	0	0	0	0	0	3	1	7	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	29	0	0	0	0	0	0	3	0	0	0	0	0	0
sq2932	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2933	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	1	4	0	0	0	0	0	1	21	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
sq2934	0	0	0	0	0	0	0	0	0	0	2	0	1	1	4	0	1	0	0	0	0	1	0	3	3	7	1	3	1	1	0	0	0	0	0	0	2	6	0	0	1	0	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0
sq2935	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2936	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2937	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	19	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	1	0	0	1	4	0	2	0	1	0	0	2	0	1	0	24	1	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	1	0	0	0	0	0	1	0	1	1	0	0	0	1	3	1	0	1	0	0	0	2	0	0	2	15	4	0	0	5	0	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
sq2940	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sq2941	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
sq2942	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2943	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2944	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	0	6	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	1	3	0	0	0	0	0	0	1	0	0	1	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2945	3	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0	0	0	0	0	0	9	0	3	0	1	3	0	0	0	0	0	0	2	0	0	3	0	5	0	1	0	0	0	0	0	0	0	0	0	2	1	5	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0
sq2946	0	1	1	0	0	3	0	2	0	0	1	0	0	1	0	0	5	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	14	0	2	0	2	0	0	0	0	0	0	1	1	2	1	0	4	0	0	0	0	0
sq2947	0	1	0	2	0	0	0	1	0	0	1	0	2	1	3	0	1	0	3	1	2	1	0	0	3	1	0	2	0	1	0	0	3	0	0	1	1	0	1	0	0	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	1	0
sq2948	0	0	3	0	0	0	0	0	1	5	0	0	7	0	0	0	0	1	0	0	0	1	0	6	4	0	1	0	4	0	0	3	0	0	0	0	1	0	0	4	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2
sq2949	0	0	1	0	0	0	0	3	1	0	0	0	2	1	2	3	4	1	0	0	0	0	0	0	5	0	1	1	6	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0
sq2950	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2951	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	6	0	0	1	2	0	0	0	2	0	0	1	0	1	12	1	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sq2952	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	3	0	0	0	0	0	0	2	2	8	1	1	0	0	0	0	0	0	0	0	0	4	3	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2953	0	0	0	0	0	0	0	0	0	1	8	6	1	1	1	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	9	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2954	0	0	0	0	0	0	0	0	0	1	0	3	0	2	3	0	2	0	0	0	0	0	0	0	0	2	0	3	0	1	1	0	0	0	0	0	0	3	1	0	2	0	4	0	2	2	0	0	0	0	0	0	0	1	7	5	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
sq2955	0	0	0	0	0	0	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	3	0	0	9	0	2	0	0	2	0	0	0	0	0	0	3	0	0	2	0	6	0	2	2	0	0	0	0	0	0	0	0	5	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0
sq2956	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	2	0	2	0	2	0	2	0	0	1	0	0	0	0	0	1	17	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2957	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	6	0	0	1	0	0	1	0	0	0	0	0	0	0	13	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
sq2958	0	0	0	0	0	0	0	0	0	0	2	0	0	4	2	0	2	0	0	0	0	0	0	0	0	11	0	1	0	0	2	0	0	0	0	0	0	2	2	0	3	0	3	0	1	3	0	0	0	0	0	0	0	0	3	1	3	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0
sq2959	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	4	0	0	0	0	0	3	0	0	0	4	0	1	0	2	9	0	1	0	8	0	4	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2960	0	0	0	0	0	0	0	0	0	0	2	5	0	3	3	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	2	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	6	3	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0
sq2961	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	4	0	0	0	0	0	3	0	0	10	0	0	0	0	1	0	0	0	0	0	0	5	2	0	3	0	7	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0
sq2962	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	18	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2963	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	1	0	0	0	9	0	2	0	0	0	0	0	0	0	0	2	0	4	0	4	0	4	0	3	0	0	1	0	0	0	3	0	0	4	2	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
sq2964	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	17	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2965	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	1	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0
sq2966	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	2	0	5	1	0	14	0	0	0	0	0	1	1	0	0	2	0	4	0	1	2	0	0	0	0	1	0	0	2	1	2	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
sq2967	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	0	0	2	8	5	4	1	1	4	0	0	0	0	0	0	6	0	0	0	0	5	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1
sq2968	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	2	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	22	3	1	0	1
sq2969	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	12	5	0	5	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2970	0	0	0	0	0	0	0	0	1	3	0	0	5	3	1	0	2	1	0	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	9	0	0	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	1	3
sq2971	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	1	0	0	0	1	0	2	1	0	1	2	4	2	0	0	0	0	0	0	5	1	0	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
sq2972	0	0	0	0	0	0	0	0	0	1	1	1	2	2	0	0	1	0	0	0	0	0	0	6	3	1	4	1	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	6	3	5	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
sq2973	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	6	0	0	0	0	0	0	0	0	0	2	0	0	1	23	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
