Kingdom	Phylum	Class	Order	Family	Genus
sq156	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
sq157	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas
sq158	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
sq159	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella
sq160	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
sq161	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	NA	NA
sq162	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
sq163	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella
sq164	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
sq165	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	OM43_clade
sq166	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
sq167	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospira
sq168	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Nitrosomonas
sq169	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
sq170	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	NA
sq171	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA
sq172	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	NA	NA
sq173	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospira
sq174	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
sq175	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
sq176	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
sq177	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA
sq178	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Delftia
sq179	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA
sq180	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
sq181	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster
sq182	Bacteria	Lentisphaerae	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera
sq183	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
sq184	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Pelagicoccus
sq185	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II	NA
sq186	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA
sq187	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_III	NA	NA
sq188	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA
sq189	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB
sq190	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
sq191	Bacteria	Proteobacteria	NA	NA	NA	NA
sq192	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
sq193	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA
sq194	Bacteria	Verrucomicrobia	Verrucomicrobiae	Arctic97B-4_marine_group	NA	NA
sq195	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group	NA	NA
sq196	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	NA
sq197	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA
sq198	Bacteria	Planctomycetes	OM190	NA	NA	NA
sq199	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopelagicus
sq200	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA
sq201	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA
sq202	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
sq203	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	NA
sq204	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA
