X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X7	X8	X9
sq41	191	424	1531	156	12	237	37	912	48	2167	52	8	1396	209	709	4	13	727	27	473	12	582	529	118	1086	419	788	5	258	11	339	8	597	21	14	642	46	29	1024	96	6	110	14	180	314	24	711	212	2476	30	2790	931	479	436	70	18	0	1742	76	2020
sq42	0	1540	175	197	1	1	16	2	17	14	3	7	28	392	233	19	16	1	19	0	34	3	2	1962	294	10115	1085	7	3	3	1	23	1	24	221	21	1522	1344	1429	4	4	0	3	2	2	27	15	526	1284	129	5174	1	104	84	52	12	0	0	1	187
sq43	696	1	8	0	50	1796	94	2133	15	1851	7	28	18	0	2	11	38	3007	36	1158	14	955	1297	60	612	5	44	12	1280	24	1342	20	463	45	18	1301	35	13	1348	1564	3	561	1	595	881	3	428	1	23	2	12	268	1020	1553	44	27	0	33	4	3
sq44	133	1	2	0	37	325	125	2058	32	2616	18	54	24	1	4	54	120	3444	160	2331	54	3736	796	14	147	2	0	57	621	68	1769	58	1487	39	14	226	27	1	107	427	17	662	33	1254	828	16	1739	1	9	1	3	284	313	57	108	29	0	28	2	3
sq45	473	0	2	0	112	1169	238	3114	112	2073	23	12	8	0	0	11	36	2138	88	2227	13	1688	1456	22	175	2	2	15	723	44	1399	82	1206	80	44	394	44	7	264	243	7	555	18	1082	2229	13	644	3	23	0	1	230	0	525	0	143	0	8	2	1
sq46	34	0	0	0	124	69	1459	642	389	545	120	58	2	0	1	141	2673	1741	3125	1114	708	918	286	37	13	5	3	155	394	1773	867	1617	340	362	43	23	6	5	10	134	268	577	480	940	376	424	788	0	0	1	0	72	311	14	33	551	0	1	1	1
sq47	11	5	1	0	229	13	848	20	152	25	67	189	0	1	2	491	2737	54	1318	42	139	7	22	25	0	2	0	3869	275	1734	58	873	6	413	47	4	52	94	77	150	1968	293	4276	422	10	1353	131	8	10	3	0	5	0	9	1353	399	0	0	2	0
sq48	379	38	20	9	57	882	235	2356	50	2473	51	14	154	16	18	15	125	2075	152	1130	41	1135	1041	181	669	99	103	18	588	65	895	112	848	73	66	691	64	94	1184	175	7	401	33	739	1025	39	1002	23	256	7	118	597	282	738	76	74	0	290	34	46
sq49	247	0	2	0	40	654	85	2546	65	2656	13	23	26	0	0	16	67	3284	116	1930	32	2175	1095	4	47	3	1	26	676	41	1619	51	1246	45	2	127	8	0	24	315	11	628	39	1074	1119	16	1024	0	5	0	2	341	92	46	19	21	0	41	1	2
sq50	64	73	323	20	11	132	109	1554	79	2349	60	5	927	26	151	3	46	1638	80	860	35	614	433	69	936	22	74	12	383	64	800	35	1033	28	35	893	11	5	102	26	9	371	35	385	447	42	1012	90	1269	12	512	935	619	196	7	42	0	1081	66	916
sq51	25	1	0	1	264	96	1692	332	673	645	1098	114	31	1	9	33	479	96	1046	92	125	40	244	798	736	10	9	35	198	563	63	481	72	779	1188	490	1555	10	332	28	34	135	17	174	496	12	175	0	2	0	0	444	0	958	15	865	0	1203	2907	0
sq52	13	571	1716	703	6	22	32	96	25	267	52	4	316	627	720	0	17	73	28	73	16	42	53	270	560	2049	2356	3	35	19	27	50	82	18	99	507	42	91	580	4	4	28	15	52	48	44	253	368	2109	1098	3692	262	37	229	6	14	0	190	86	602
sq53	233	369	39	91	281	434	509	501	101	589	109	135	133	87	27	13	158	323	105	195	25	50	273	1578	648	1561	391	49	148	49	218	59	99	261	198	284	808	1454	3355	28	15	75	48	69	143	39	139	400	1413	177	1373	116	156	281	65	228	0	279	329	53
