X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X7	X8	X9
sq1937	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	1	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0
sq1938	2	0	0	0	0	1	0	11	0	2	1	1	0	0	0	0	0	9	2	19	0	12	5	0	0	0	0	0	9	0	6	0	8	0	0	0	0	0	0	0	0	5	0	4	9	0	6	0	0	0	0	2	0	0	0	1	0	0	0	0
sq1939	2	0	0	0	0	8	0	10	0	18	0	0	0	0	0	0	0	8	1	7	0	10	7	0	0	0	0	0	5	0	9	2	5	1	0	1	1	0	1	1	0	1	0	2	6	0	7	0	0	0	0	1	0	0	0	0	0	0	1	0
sq1940	0	0	0	0	12	0	2	0	0	0	0	3	0	0	0	15	4	0	5	0	0	0	0	0	0	0	0	47	3	5	0	2	0	4	0	0	0	0	0	2	2	0	1	3	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0
sq1941	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	54	0	0	1	0	0	0	1	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
sq1942	0	0	0	0	0	2	1	3	0	6	0	0	1	0	2	0	2	5	4	14	1	21	0	0	0	0	0	1	1	4	8	1	5	0	0	0	0	0	0	0	0	0	1	1	3	0	21	1	0	0	0	4	0	1	0	1	0	0	0	0
sq1943	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	11	4	0	0	0	0	0	0	0	0	0	0	24	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0
sq1944	5	0	0	0	1	8	0	1	0	1	0	2	0	0	0	4	9	13	4	6	0	0	4	1	0	0	0	2	8	0	16	0	1	0	1	7	0	0	1	7	0	4	0	5	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
sq1945	2	0	0	0	0	9	0	11	0	23	0	0	0	0	0	0	0	7	0	4	0	6	13	0	0	0	0	0	3	0	4	0	7	1	0	0	1	0	0	0	0	2	0	3	12	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0
sq1946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	1	0	0	0	0	0	0
sq1947	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	35	0	0	0	0	2	0	3	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sq1948	6	0	0	0	2	3	0	0	0	0	0	12	0	0	0	47	1	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1949	4	1	1	3	1	0	0	6	1	7	0	0	3	1	8	0	0	11	0	1	1	2	0	0	5	1	3	0	4	0	0	0	2	0	1	1	0	0	12	3	0	2	0	1	3	0	2	1	5	0	6	0	0	4	0	0	0	4	0	2
sq1950	0	32	9	11	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	10	2	12	0	0	0	0	0	0	0	0	9
sq1951	0	0	7	2	1	2	0	7	0	10	0	0	6	2	0	0	1	8	0	3	0	11	4	0	7	1	0	0	0	0	9	0	1	1	0	0	0	0	0	0	0	1	1	0	2	0	4	0	8	0	3	3	0	0	0	0	0	2	0	6
sq1952	9	0	0	0	0	5	0	12	1	9	0	0	0	0	0	0	0	15	0	0	0	1	9	0	1	0	0	0	14	0	6	0	0	0	0	3	0	0	1	15	0	2	0	0	5	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0
sq1953	4	0	0	0	0	1	1	14	0	4	0	0	0	0	0	0	0	25	1	8	0	2	6	0	0	0	0	0	4	0	13	0	7	0	0	0	0	0	0	5	0	3	0	3	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1954	2	0	0	0	0	6	2	18	1	15	0	0	1	0	0	0	0	4	0	7	0	6	7	0	0	0	0	1	3	0	7	0	5	0	0	4	0	0	1	1	0	1	0	3	5	0	9	0	0	0	0	1	0	2	0	0	0	0	0	0
sq1955	2	0	0	0	0	14	0	10	0	2	0	1	0	0	0	0	0	16	1	11	0	1	13	0	0	0	0	0	11	0	6	0	3	1	0	1	0	0	1	12	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
sq1956	1	33	4	4	1	0	3	0	0	6	1	0	7	9	3	0	0	0	0	0	0	0	1	4	2	2	0	0	0	0	1	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0	4	1	1	0	9	3	0	0	0	0	0	1	3	2
sq1957	0	3	9	2	0	0	0	1	0	1	0	0	2	2	16	0	1	1	0	0	0	3	0	0	11	3	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	1	3	0	14	9	0	0	0	0	0	8	0	14
sq1958	0	0	0	0	1	0	14	0	2	0	0	1	0	0	0	1	15	0	26	0	4	0	0	0	0	0	0	0	0	9	0	10	0	4	0	0	0	0	0	0	0	1	5	7	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0
sq1959	0	0	0	0	1	2	0	6	1	5	0	0	0	0	0	0	3	43	0	6	0	2	3	0	1	0	0	0	3	2	12	0	2	0	0	0	0	0	2	2	0	6	1	3	1	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0
sq1960	5	0	0	0	4	7	0	13	0	3	0	1	0	0	0	1	0	9	0	1	0	0	14	0	0	0	0	0	13	0	9	0	2	1	0	1	0	0	1	18	0	1	0	1	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
sq1961	4	0	0	0	4	11	1	13	0	7	0	0	0	0	0	0	3	5	2	20	0	2	1	0	0	0	0	0	5	0	7	1	7	2	0	0	0	0	0	5	0	3	0	2	2	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0
sq1962	3	0	0	0	23	1	6	1	3	0	2	9	0	0	0	1	13	1	10	0	0	0	1	0	0	0	0	2	3	1	0	5	0	13	2	0	0	3	2	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
sq1963	0	2	0	0	0	0	1	0	4	0	0	0	1	1	1	1	3	0	19	1	4	3	1	10	4	6	1	0	0	2	2	16	1	0	2	2	1	0	0	0	0	0	0	4	0	0	10	1	0	0	2	1	0	0	0	3	0	0	0	1
sq1964	0	0	35	14	1	0	1	0	0	0	0	1	0	16	1	1	0	0	2	0	0	0	1	4	0	7	0	4	0	1	0	0	0	2	0	0	6	5	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	3	1	0	0	0	0
sq1965	0	0	0	0	1	0	2	0	1	0	0	5	0	0	0	2	10	0	5	0	2	0	0	0	0	0	0	22	1	5	0	2	0	3	0	0	0	0	0	1	4	2	15	3	0	4	3	0	0	0	0	0	0	0	15	3	0	0	0	0
sq1966	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0
sq1967	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	3	7	0	4	0	2	0	0	0	0	0	0	38	1	6	0	4	0	6	0	0	0	0	0	1	4	0	7	1	0	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0
sq1968	0	0	0	0	0	0	0	20	0	6	0	0	0	0	0	0	0	14	0	10	0	12	2	0	0	0	0	0	3	0	10	1	2	1	0	0	1	0	0	8	0	7	0	10	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
sq1969	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	38	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0
sq1970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	37	0	0	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	41	0	0	0	0	0	0
sq1971	6	0	0	0	0	15	0	6	0	1	0	0	0	0	0	2	0	6	0	2	0	0	4	0	0	0	0	1	19	0	3	1	0	0	1	1	0	0	0	35	0	3	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1972	6	0	0	0	16	1	6	2	0	1	1	18	0	0	0	7	4	0	2	0	2	2	6	0	0	0	0	2	7	1	1	0	0	3	2	0	4	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
sq1973	4	0	0	0	2	6	2	6	0	3	0	3	0	0	0	0	7	13	0	5	0	0	1	0	1	0	0	0	10	6	9	2	0	0	0	1	1	1	10	2	1	3	1	2	2	0	2	0	0	0	0	1	0	2	0	1	0	0	0	0
sq1974	4	1	0	1	2	2	2	11	0	10	0	0	0	1	0	0	0	11	3	7	0	4	13	0	1	0	0	0	2	0	3	1	6	2	0	1	2	0	2	2	0	2	0	5	2	0	2	0	0	0	0	3	0	1	0	1	0	0	0	0
sq1975	3	0	0	0	3	1	6	8	0	3	0	1	1	0	0	0	2	13	0	4	0	1	5	2	0	0	0	0	12	5	11	0	1	0	1	2	1	0	1	9	0	5	0	4	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
sq1976	3	0	0	0	2	2	1	10	2	6	0	2	0	0	0	0	0	20	1	7	0	2	4	0	2	0	0	0	9	0	7	1	5	0	0	3	0	0	4	1	0	4	0	7	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
sq1977	1	0	0	0	8	11	1	2	0	0	0	5	0	1	0	6	3	2	1	0	0	0	0	0	0	0	0	2	5	4	0	0	0	4	13	17	4	0	1	6	2	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
sq1978	0	1	1	1	0	0	6	2	0	10	0	1	2	1	0	0	0	11	2	10	0	13	1	0	1	0	0	0	1	3	3	0	6	1	0	0	0	0	0	0	0	2	0	4	2	0	10	0	8	0	1	0	0	0	0	1	0	2	0	3
sq1979	0	0	0	0	10	1	2	0	0	0	0	4	0	0	0	19	2	0	0	1	0	0	3	0	0	0	0	0	17	0	0	1	0	2	7	0	7	0	4	23	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0
sq1980	0	0	0	0	4	0	5	0	0	0	1	2	0	0	0	1	12	0	7	0	1	0	0	0	0	0	0	24	0	11	0	2	0	3	0	0	0	0	0	0	3	0	14	2	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0
sq1981	0	0	0	0	1	0	4	0	1	0	1	0	0	0	0	0	7	0	36	0	6	0	0	0	0	0	0	5	0	4	0	11	0	3	0	0	0	0	0	0	1	3	10	4	0	7	3	0	0	0	0	0	0	0	0	3	0	0	0	0
sq1982	0	0	0	0	0	0	2	12	0	23	2	0	3	1	0	0	0	14	0	5	0	12	3	0	0	0	0	0	4	0	2	0	9	0	0	0	0	0	1	1	0	2	0	4	1	0	4	0	0	0	0	3	0	0	0	0	0	1	0	1
sq1983	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	1	0	0	0	2	3	1	3	72	0	0	0	0	1	0	0	1	0	2	0	1	0	0	15	1	0	0	0	0	0
sq1984	6	0	0	0	1	7	2	10	0	3	0	0	0	0	0	0	0	20	1	7	0	2	10	0	0	0	0	0	16	0	6	0	1	0	0	3	0	0	0	5	0	2	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1985	2	0	0	0	0	7	1	10	0	2	0	0	0	0	0	0	0	17	0	9	0	2	11	0	1	0	0	0	10	0	3	0	2	2	3	4	0	0	1	11	0	4	0	4	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
sq1986	1	0	0	0	1	6	0	2	0	0	0	1	0	0	0	3	0	3	0	2	0	1	2	0	2	0	0	0	13	0	0	0	0	0	0	22	0	0	2	35	0	2	0	1	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
sq1987	0	8	5	0	0	3	0	1	0	0	0	0	8	5	9	0	0	1	0	0	0	0	0	1	4	2	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	3	3	13	0	10	1	0	4	0	0	0	6	0	15
sq1988	0	3	9	2	0	0	0	0	0	0	4	0	3	2	18	0	0	1	0	0	0	0	0	0	2	7	23	0	0	0	0	0	1	0	4	5	0	0	3	0	0	0	0	0	0	0	0	0	3	0	9	2	0	1	0	0	0	3	0	4
sq1989	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	4	0	77	0	13	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1990	0	0	0	0	1	0	2	0	1	6	1	0	0	0	0	0	1	0	2	0	0	1	1	15	3	0	0	2	4	0	0	3	0	1	6	3	31	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	16	0	2	0	2	0	0
sq1991	0	0	0	0	1	0	8	0	2	0	0	9	0	0	0	3	9	0	7	0	3	0	0	2	0	0	0	5	2	19	0	10	0	5	5	0	0	0	0	0	5	1	2	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
sq1992	0	0	0	0	0	1	4	5	1	5	0	0	0	0	0	1	4	15	0	8	0	11	2	0	0	0	0	1	1	3	14	1	8	2	1	1	0	0	0	3	0	2	0	4	3	0	6	0	0	0	0	1	0	0	0	0	0	1	0	0
sq1993	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	4	20	2	2	0	0	0	0	0	0	0	0	36	2	7	0	1	0	2	1	0	0	0	0	6	4	1	5	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
sq1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0
sq1995	7	0	0	0	1	14	0	10	0	8	0	0	0	0	0	0	0	9	0	5	0	2	4	0	1	0	0	1	3	0	5	1	2	1	0	5	1	0	4	5	0	0	0	2	3	0	0	0	0	0	0	0	0	4	9	0	0	1	0	0
sq1996	6	0	0	0	0	9	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	2	13	0	0	0	0	0	0	2	0	0	0	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1997	6	0	0	0	2	7	3	4	0	3	0	1	0	0	0	3	0	5	1	8	0	0	4	0	0	0	0	1	9	2	10	0	2	1	0	1	0	0	0	27	0	2	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
sq1998	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	9	0	0	0	5	0	0	0	0	0	1	10	1	4	50	5	0	2	0	0	0	0	1	0	3	0	2	0	0	8	0	0	0	0	0	0
sq1999	2	0	0	0	0	5	0	6	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	15	0	0	0	0	0	0	39	0	0	6	18	0	1	0	0	1	0	0	0	2	0	0	3	0	3	0	0	0	0	0	0
sq2000	0	0	0	0	9	0	2	0	0	0	0	4	0	0	0	3	6	0	3	0	1	0	1	0	0	0	0	36	3	9	0	3	0	0	2	0	0	0	0	1	7	0	3	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
sq2001	0	0	0	0	0	0	3	13	2	4	0	1	0	0	0	2	6	8	3	9	0	0	2	0	0	0	0	12	1	2	5	0	1	3	1	0	4	0	0	3	10	1	9	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0
sq2003	4	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	14	1	4	0	1	0	0	2	0	0	0	14	0	2	0	0	4	0	11	0	0	10	4	0	0	0	1	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
sq2004	4	1	0	0	0	3	0	3	0	3	0	0	0	0	2	0	0	4	0	2	0	0	2	0	4	4	3	0	1	0	8	0	2	1	0	4	1	1	22	0	0	1	0	1	0	0	2	2	6	0	6	0	0	12	0	1	0	1	0	0
sq2005	3	0	0	0	0	4	0	0	0	0	0	1	0	0	0	5	0	3	0	1	0	0	5	0	0	0	0	0	23	0	0	0	0	0	3	17	0	0	1	38	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
sq2006	3	0	0	0	0	2	0	10	0	1	0	2	0	0	0	0	0	23	0	5	0	5	7	0	0	0	0	0	11	2	8	0	3	0	0	0	0	0	0	2	0	5	0	13	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
sq2007	1	0	0	0	2	3	3	5	0	6	0	0	0	0	0	0	1	29	0	9	0	2	3	0	0	0	0	0	2	1	15	0	0	0	0	0	0	0	0	3	0	11	2	4	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0
sq2008	0	11	1	4	0	0	0	0	1	0	32	0	1	2	0	0	0	0	0	0	2	0	0	20	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	4	0	0	0	0	0	0	0	18	0
sq2009	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	1	0	16	2	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	8	4	0	0	3	0	0	0	0	55	0	0	0	1	0
sq2010	0	1	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	3	0
sq2011	0	0	0	0	6	2	1	1	0	1	2	8	0	0	0	5	5	1	7	1	3	1	0	1	1	0	0	14	1	8	1	4	0	1	2	1	4	2	0	7	0	4	1	1	0	3	0	0	0	0	0	0	0	0	4	0	0	0	3	0
sq2012	0	0	0	0	2	0	0	0	2	0	0	16	0	0	0	2	15	0	11	0	0	0	0	0	0	0	0	19	0	5	0	2	0	5	0	0	0	1	0	0	9	1	12	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0
sq2013	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	12	1	0	0	0	0	0	0	0	0	0	15	0	0	48	0	0	0	0	0	0	0	4	0	0	0	0	0	0	22	0	0	0	0	0	0
sq2014	1	0	0	0	0	2	4	20	1	10	1	0	0	0	0	0	0	8	1	13	0	11	7	0	0	0	0	0	2	0	4	0	3	0	1	1	0	0	0	0	0	4	0	3	4	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0
sq2015	1	0	0	0	1	10	1	6	1	1	0	2	0	0	0	3	0	9	0	17	0	4	2	0	0	0	0	0	9	0	7	1	2	0	0	0	0	0	0	22	0	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2016	0	2	1	1	0	0	0	1	1	4	0	0	2	1	0	1	2	3	4	7	1	1	0	5	3	3	0	2	0	0	1	0	2	0	2	1	2	0	0	0	0	1	1	5	1	4	7	2	14	0	3	5	0	0	7	0	0	0	0	3
sq2017	0	1	0	0	1	0	1	0	1	0	11	0	0	1	0	0	0	0	2	0	2	2	0	0	0	0	0	3	0	0	0	7	0	1	0	0	0	1	0	0	3	0	10	0	0	49	3	4	1	2	0	0	0	0	0	0	0	0	0	0
sq2018	0	0	0	1	2	0	1	0	0	0	0	4	0	1	0	3	2	0	9	0	1	0	0	0	0	9	0	31	0	4	0	3	0	1	3	0	1	2	0	1	3	0	2	0	0	5	0	2	0	0	0	0	0	0	15	0	0	0	0	0
sq2019	0	0	0	0	3	0	27	0	3	0	1	3	0	0	0	4	17	0	16	0	0	0	1	0	0	0	0	0	1	13	0	5	0	4	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
sq2020	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	2	0	2	0	9	0	0	0	0	0	0	3	0	1	58	3	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	18	0	0	0	0	0
sq2021	5	0	0	0	1	14	0	10	0	4	0	0	0	0	0	0	0	11	0	2	0	1	9	0	4	0	0	0	9	0	1	0	1	0	0	5	0	0	0	17	0	1	0	4	1	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0
sq2022	3	0	0	0	7	10	1	6	0	0	1	4	0	0	0	7	3	9	0	1	1	0	1	6	0	0	0	2	7	1	5	0	0	6	4	1	1	0	0	10	0	2	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2023	2	0	0	0	0	9	0	10	0	19	0	0	0	0	0	0	0	10	0	3	0	8	6	0	1	0	0	0	1	0	4	0	8	0	0	0	0	0	3	1	0	1	1	2	5	0	5	0	0	0	0	3	1	2	0	0	0	0	0	0
sq2024	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	23	4	0	0	3	0	0	0	0	0	0	0	1	11	1	0	0	0	0	0	0	1	0	2	30	0	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
sq2025	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	5	5	3	0	0	0	0	0	1	0	1	12	3	0	37	1	0	0	0	0	0	0	5	2	0	1	1	0	0	22	0	0	0	0	0	0
sq2026	0	0	0	0	12	0	11	1	0	0	0	6	0	0	0	12	15	0	14	0	1	0	4	0	0	0	0	6	3	4	0	0	0	3	3	0	0	1	0	1	1	1	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
sq2027	0	0	0	0	1	2	0	3	0	2	0	0	0	0	0	1	0	7	0	1	0	0	2	3	7	0	0	0	10	0	4	0	1	0	1	18	2	1	9	15	0	4	0	0	0	0	4	0	1	0	2	0	0	3	0	1	0	0	0	0
sq2028	6	0	0	0	0	7	0	2	0	0	0	2	0	0	0	8	1	4	0	0	0	1	0	1	0	0	0	0	15	0	2	0	0	0	0	0	0	0	1	52	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
sq2029	1	0	0	0	5	0	6	0	1	0	0	11	0	0	0	5	9	0	16	0	9	0	0	0	0	0	0	4	2	8	0	3	0	10	0	0	0	0	2	1	2	1	3	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
sq2030	1	0	0	0	0	10	0	3	0	0	0	0	0	0	0	2	2	23	1	6	0	2	6	0	0	0	0	1	12	0	11	0	2	1	0	1	0	0	2	8	0	2	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sq2031	0	1	0	0	0	0	0	0	0	1	8	0	3	0	0	0	1	0	3	1	10	1	0	7	1	1	0	0	0	0	0	10	6	0	1	0	2	0	1	0	0	0	0	0	1	7	31	0	1	0	0	3	0	0	0	2	0	0	1	0
sq2032	0	0	0	1	0	0	0	0	2	0	10	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	6	0	0	0	1	0	0	2	0	5	28	1	1	0	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	1	21	0
sq2033	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3	10	20	4	29	0	0	0	0	0	0	0	2	5	1	8	0	1	1	0	0	0	0	0	0	0	3	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0
sq2034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	1	0	1	7	0	0	0	1	2	1	0	0	1	0	18	10	14	1	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
sq2035	8	0	0	0	0	12	3	7	0	6	0	0	0	0	0	0	0	14	0	1	0	2	9	0	2	0	0	0	13	0	1	0	4	1	0	2	0	0	4	7	0	3	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
sq2036	2	0	0	0	1	0	1	8	0	10	0	0	0	0	0	0	2	28	3	3	0	2	6	0	0	0	0	0	7	1	9	0	0	0	0	1	0	0	0	6	1	3	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2037	2	0	10	2	0	3	0	6	0	14	1	0	2	2	0	0	0	5	0	5	0	5	3	0	2	0	0	0	6	0	6	0	4	0	0	2	0	0	1	0	0	3	0	1	2	0	4	0	4	0	1	2	0	0	0	0	0	2	0	3
sq2038	2	0	0	0	0	4	0	7	1	6	0	0	0	0	0	1	0	5	1	3	0	1	10	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	2	20	0	1	0	1	0	0	1	0	0	0	0	0	26	1	0	0	0	0	0	0
sq2039	1	0	0	0	5	1	3	4	1	1	0	8	1	0	0	13	3	2	10	2	0	0	6	0	0	0	0	1	6	1	2	0	1	3	0	2	0	0	0	18	0	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq2040	0	0	0	0	0	0	1	4	0	6	0	0	0	0	0	0	0	11	0	12	0	20	1	0	0	0	0	0	7	1	4	0	9	0	0	0	0	0	0	0	0	4	2	9	4	0	3	0	1	0	0	1	0	0	0	1	0	2	0	0
sq2041	7	0	0	0	0	6	0	1	0	0	0	0	0	0	0	4	0	0	1	1	0	0	2	0	1	0	0	0	17	0	1	0	0	2	0	8	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
sq2042	6	0	0	0	0	7	0	11	0	11	0	0	0	0	0	0	0	6	1	4	0	9	9	0	1	0	0	0	2	0	7	0	5	0	0	2	0	0	0	0	0	3	0	3	6	0	6	0	1	0	0	0	0	2	0	0	0	0	0	0
sq2043	5	0	0	0	0	3	1	4	0	4	0	2	1	0	0	0	0	2	1	0	0	0	0	0	3	1	3	1	8	0	2	0	0	0	0	8	2	1	22	8	0	0	0	0	1	0	2	0	1	0	1	0	0	3	12	0	0	0	0	0
sq2044	1	0	0	0	3	7	3	6	0	5	0	0	0	0	0	1	0	12	1	8	1	6	5	0	1	0	0	0	10	0	4	0	1	1	0	2	0	0	1	10	0	4	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	1	1	0
sq2045	0	4	4	3	0	1	2	7	0	10	0	0	3	0	2	0	1	5	0	2	0	14	0	0	3	1	1	0	2	0	4	0	3	0	0	0	0	0	0	0	0	1	0	3	2	0	10	0	4	0	1	2	0	0	0	0	0	4	0	3
sq2046	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	11	8	1	10	0	2	0	0	2	0	0	0	26	0	3	0	3	0	0	0	0	1	0	1	2	4	0	2	0	0	1	0	0	0	0	0	0	0	0	18	1	0	0	0	0
